replicate,regime,buyer_provider,seller_provider,deal,failed,rounds_used,schema_violations,price,bundle_included,seller_cost,seller_floor,buyer_valuation,buyer_budget,bundle_value,bundle_cost,consumer_surplus,producer_surplus,welfare
1,multiattr,gemini,openrouter,False,True,1,0,,False,615.8981859344245,712.6282138310042,1000.5642534821648,1062.7942361552098,157.6099650949025,86.68548080219638,0.0,0.0,0.0
2,price_only,gemini,gemini,True,False,4,0,850.0,False,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,217.69421444304157,278.03356831181713,495.7277827548587
2,price_only,openrouter,openrouter,True,False,3,0,680.0,False,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,387.6942144430416,108.03356831181713,495.7277827548587
2,price_only,gemini,openrouter,True,False,1,0,750.0,False,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,317.6942144430416,178.03356831181713,495.7277827548587
2,multiattr,gemini,gemini,True,False,3,0,700.0,True,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,454.1937021794997,80.45885005676512,534.6525522362648
2,multiattr,openrouter,openrouter,True,False,2,0,720.0,True,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,434.1937021794997,100.45885005676512,534.6525522362648
2,multiattr,gemini,openrouter,True,False,1,0,750.0,False,571.9664316881829,674.5424110650148,1067.6942144430416,1084.528383253967,86.4994877364582,47.57471825505202,317.6942144430416,178.03356831181713,495.7277827548587
3,price_only,gemini,gemini,True,False,5,0,875.0,False,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,237.55134904441525,300.3258225487657,537.877171593181
3,price_only,openrouter,openrouter,True,False,2,0,700.0,False,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,412.55134904441525,125.3258225487657,537.877171593181
3,price_only,gemini,openrouter,True,False,2,0,660.0,False,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,452.55134904441525,85.3258225487657,537.877171593181
3,multiattr,gemini,gemini,True,False,4,0,810.0,False,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,302.55134904441525,235.3258225487657,537.877171593181
3,multiattr,openrouter,openrouter,True,False,1,0,950.0,False,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,162.55134904441525,375.3258225487657,537.877171593181
3,multiattr,gemini,openrouter,True,False,3,0,665.0,True,574.6741774512343,651.6231892300653,1112.5513490444152,1231.8536961021045,138.85110022666143,76.3681051246638,586.4024492710766,13.9577174241019,600.3601666951786
4,price_only,gemini,gemini,True,False,4,0,745.0,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,390.9413704174867,174.95872645324573,565.9000968707325
4,price_only,openrouter,openrouter,True,False,1,0,1100.0,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,35.94137041748672,529.9587264532457,565.9000968707325
4,price_only,gemini,openrouter,True,False,1,0,850.0,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,285.9413704174867,279.95872645324573,565.9000968707325
4,multiattr,gemini,gemini,True,False,4,0,790.0,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,345.9413704174867,219.95872645324573,565.9000968707325
4,multiattr,openrouter,openrouter,False,True,2,0,,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,0.0,0.0,0.0
4,multiattr,gemini,openrouter,False,True,1,0,,False,570.0412735467543,612.4525515181222,1135.9413704174867,1154.185767342768,76.79984449327208,42.23991447129964,0.0,0.0,0.0
5,price_only,gemini,gemini,True,False,4,0,645.0,False,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,456.95735283342833,99.7700838913338,556.7274367247621
5,price_only,openrouter,openrouter,True,False,3,0,1100.0,False,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,1.957352833428331,554.7700838913338,556.7274367247621
5,price_only,gemini,openrouter,True,False,2,0,775.0,False,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,326.95735283342833,229.7700838913338,556.7274367247621
5,multiattr,gemini,gemini,True,False,2,0,640.0,True,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,565.3798267991758,37.88772321017267,603.2675500093485
5,multiattr,openrouter,openrouter,True,False,1,0,950.0,False,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,151.95735283342833,404.7700838913338,556.7274367247621
5,multiattr,gemini,openrouter,True,False,2,0,750.0,True,545.2299161086662,578.1281616815606,1101.9573528334283,1103.5617903043146,103.42247396574749,56.882360681161124,455.3798267991758,147.88772321017268,603.2675500093485
